控件icon名,包含簇号,是否命中,簇内排序,簇内控件总数,"top-1,3,5命中",top-20%命中,Threshold0.49命中,原始簇号
view_67b206a2242cec6e445f84d58dc224bb.png,2,False,21,90,False,False,False,1
view_4d03888ec5acebf863fb8debe4535ffb.png,23,True,0,5,True,True,True,213
